stadium,attendance,home_team,away_team,home_goals,away_goals,Home Expected goals(xG),Home Total shots,Home Shots on target,Home Big chances,Home Big chances missed,Home Accurate passes,Home Fouls committed,Home Corners,Home Total shots.,Home Shots off target,Home Shots on target.,Home Blocked shots,Home Hit woodwork,Home Shots inside box,Home Shots outside box,Home Expected goals (xG),Home xG open play,Home xG set play,Home Non-penalty xG,Home xG on target (xGOT),Home Passes,Home Accurate passes,Home Own half,Home Opposition half,Home Accurate long balls,Home Accurate crosses,Home Throws,Home Touches in opposition box,Home Offsides,Home Yellow cards,Home Red cards,Home Tackles won,Home Interceptions,Home Blocks,Home Clearances,Home Keeper saves,Home Duels won,Home Ground duels won,Home Aerial duels won,Home Successful dribbles,Away Expected goals(xG),Away Total shots,Away Shots on target,Away Big chances,Away Big chances missed,Away Accurate passes,Away Fouls committed,Away Corners,Away Total shots.,Away Shots off target,Away Shots on target.,Away Blocked shots,Away Hit woodwork,Away Shots inside box,Away Shots outside box,Away Expected goals (xG),Away xG open play,Away xG set play,Away Non-penalty xG,Away xG on target (xGOT),Away Passes,Away Accurate passes,Away Own half,Away Opposition half,Away Accurate long balls,Away Accurate crosses,Away Throws,Away Touches in opposition box,Away Offsides,Away Yellow cards,Away Red cards,Away Tackles won,Away Interceptions,Away Blocks,Away Clearances,Away Keeper saves,Away Duels won,Away Ground duels won,Away Aerial duels won,Away Successful dribbles
Allegiant Stadium,"24,074",Ecuador,Jamaica,3,1,2.45,24,4,4,2,315(80%),8,7,24,8,4,12,0,14,10,2.45,1.32,0.35,1.66,2.79,275,315(80%),98,112,29(52%),6(35%),18,27,2,0,0,10(53%),12,2,24,2,60,41(59%),19(54%),7(58%),0.81,7,4,2,1,260(78%),18,8,7,1,4,2,0,5,2,0.81,0.24,0.57,0.81,0.97,332,260(78%),157,98,19(40%),4(19%),15,15,0,4,0,9(64%),11,11,23,1,44,28(41%),16(46%),6(35%)
SoFi Stadium,"72,773",Venezuela,Mexico,1,0,1.17,10,2,1,0,315(80%),7,2,10,4,2,4,1,3,7,1.17,0.37,0.02,0.39,1.07,321,315(80%),117,116,19(32%),0(0%),16,12,4,2,0,19(73%),15,7,45,5,64,44(59%),20(56%),9(60%),2.88,18,5,5,5,260(78%),12,7,18,5,5,8,0,15,3,2.88,1.90,0.19,2.09,2.82,489,260(78%),208,189,25(53%),4(17%),21,45,2,2,0,10(63%),6,3,12,1,47,31(41%),16(44%),9(36%)
MercedesBenz Stadium,"59,145",Panama,USA,2,1,0.77,13,4,1,0,439(83%),19,3,13,2,4,7,0,6,7,0.77,0.71,0.06,0.77,0.93,540,439(83%),169,296,23(51%),6(29%),19,27,2,3,1,3(50%),4,0,17,2,40,18(40%),22(61%),8(80%),1.08,6,3,1,1,161(64%),4,0,6,3,3,0,1,6,0,1.08,0.75,0.33,1.08,1.22,192,161(64%),71,43,15(23%),4(44%),19,13,3,2,1,5(71%),7,7,17,2,41,27(60%),14(39%),3(50%)
MetLife Stadium,"48,033",Uruguay,Bolivia,5,0,2.93,18,9,8,4,439(83%),12,4,18,4,9,5,1,15,3,2.93,1.58,1.35,2.93,3.89,485,439(83%),165,248,37(71%),7(37%),22,43,3,0,0,27(77%),7,1,8,1,80,63(61%),17(63%),16(50%),0.06,4,1,0,0,161(64%),14,3,4,2,1,1,0,2,2,0.06,0.02,0.04,0.06,0.04,331,161(64%),209,60,17(37%),3(38%),20,4,0,1,0,13(57%),8,5,20,4,50,40(39%),10(37%),7(37%)
State Farm Stadium,"27,386",Colombia,Costa Rica,3,0,2.90,17,5,3,1,630(91%),19,4,17,6,5,6,0,12,5,2.90,0.78,1.33,2.12,2.26,530,630(91%),270,194,33(56%),10(71%),21,29,2,2,0,13(68%),5,1,9,0,61,40(44%),21(75%),8(47%),0.15,5,0,0,0,185(74%),14,2,5,4,0,1,0,2,3,0.15,0.10,0.05,0.15,0.00,301,185(74%),166,69,26(43%),0(0%),21,5,1,1,0,15(60%),7,6,15,2,57,50(56%),7(25%),7(44%)
Allegiant Stadium,"46,939",Paraguay,Brazil,1,4,0.87,15,6,2,2,630(91%),12,4,15,7,6,2,0,5,10,0.87,0.73,0.14,0.87,0.87,391,630(91%),173,158,18(46%),3(23%),11,13,1,2,1,19(61%),9,1,14,2,60,49(54%),11(58%),5(38%),3.74,17,6,5,1,185(74%),13,6,17,8,6,3,1,12,5,3.74,1.91,0.26,2.17,3.25,476,185(74%),236,171,11(42%),3(27%),10,27,0,3,0,10(53%),6,2,14,5,50,42(46%),8(42%),13(37%)
Hard Rock Stadium,"64,972",Argentina,Peru,2,0,2.29,12,6,4,2,251(72%),11,6,12,4,6,2,1,10,2,2.29,1.41,0.10,1.50,1.11,627,251(72%),381,180,26(60%),3(30%),18,21,3,1,0,12(71%),7,1,14,1,48,38(58%),10(56%),4(36%),0.14,6,1,0,0,282(78%),20,3,6,3,1,2,1,2,4,0.14,0.09,0.05,0.14,0.09,209,282(78%),67,83,13(36%),6(46%),23,12,1,5,0,10(77%),11,2,6,4,35,27(42%),8(44%),3(21%)
InterCo Stadium,"24,481",Canada,Chile,0,0,1.08,9,3,2,2,251(72%),15,8,9,3,3,3,0,7,2,1.08,0.94,0.14,1.08,0.49,414,251(72%),165,177,14(37%),2(10%),19,28,2,5,0,10(48%),10,2,30,4,55,37(42%),18(46%),8(38%),0.54,8,4,1,1,282(78%),8,4,8,2,4,2,0,5,3,0.54,0.12,0.42,0.54,0.79,310,282(78%),138,85,29(49%),4(25%),29,19,1,0,1,16(62%),5,3,28,3,73,52(58%),21(54%),13(50%)
Q2 Stadium,"20,240",Jamaica,Venezuela,0,3,0.52,8,1,0,0,273(77%),4,6,8,6,1,1,0,4,4,0.52,0.48,0.04,0.52,0.34,346,273(77%),192,95,24(55%),3(21%),23,10,0,1,0,8(73%),8,5,25,0,40,32(52%),8(50%),9(45%),1.96,17,3,3,0,482(87%),12,9,17,9,3,5,0,9,8,1.96,1.92,0.03,1.96,2.07,374,482(87%),165,155,15(56%),3(11%),24,31,1,1,0,13(65%),8,1,14,1,37,29(48%),8(50%),5(38%)
State Farm Stadium,"62,565",Mexico,Ecuador,0,0,1.01,20,4,2,2,273(77%),16,5,20,7,4,9,1,10,10,1.01,0.74,0.27,1.01,0.34,396,273(77%),157,161,17(38%),7(28%),21,39,2,5,0,11(41%),9,2,23,3,81,50(50%),31(67%),11(39%),0.40,9,3,0,0,482(87%),12,2,9,3,3,3,0,4,5,0.40,0.13,0.27,0.40,0.48,276,482(87%),119,80,22(33%),3(27%),22,19,2,2,0,17(61%),7,7,37,4,65,50(50%),15(33%),6(23%)
InterCo Stadium,"16,129",Bolivia,Panama,1,3,0.72,7,4,2,1,210(76%),17,2,7,2,4,1,0,5,2,0.72,0.72,0.00,0.72,0.94,447,210(76%),260,113,21(44%),2(33%),17,11,4,2,0,10(67%),8,2,21,3,44,28(38%),16(55%),6(55%),1.23,13,6,2,1,255(77%),8,1,13,5,6,2,0,10,3,1.23,1.20,0.03,1.23,2.14,409,255(77%),180,156,39(57%),3(16%),17,24,0,1,0,10(67%),10,2,12,2,58,45(62%),13(45%),14(82%)
Arrowhead Stadium,"55,460",USA,Uruguay,0,1,0.49,8,3,1,1,210(76%),12,2,8,2,3,3,0,5,3,0.49,0.43,0.06,0.49,0.18,314,210(76%),121,109,14(29%),0(0%),41,17,1,2,0,6(40%),6,2,20,4,48,34(47%),14(45%),9(50%),1.53,12,5,3,2,255(77%),12,3,12,5,5,2,0,8,4,1.53,0.37,1.17,1.53,1.35,315,255(77%),125,102,24(38%),5(29%),19,17,0,1,0,13(68%),11,4,20,2,56,39(53%),17(55%),8(73%)
Levis Stadium,"70,971",Brazil,Colombia,1,1,0.29,7,3,0,0,233(73%),14,6,7,2,3,2,0,1,6,0.29,0.14,0.16,0.29,0.79,422,233(73%),241,102,31(50%),1(10%),15,22,1,3,0,21(72%),10,1,17,5,64,53(54%),11(55%),7(44%),1.45,13,6,3,2,397(81%),19,5,13,6,6,1,1,8,5,1.45,1.04,0.41,1.45,0.91,401,397(81%),179,158,8(24%),4(25%),21,18,2,2,0,15(68%),7,2,16,2,54,45(46%),9(45%),10(42%)
Q2 Stadium,"12,765",Costa Rica,Paraguay,2,1,0.40,2,2,1,0,233(73%),11,1,2,0,2,0,0,1,1,0.40,0.02,0.38,0.40,1.21,256,233(73%),116,56,20(34%),2(67%),14,4,5,3,0,8(50%),8,5,29,5,48,35(52%),13(43%),5(42%),1.20,17,6,1,1,397(81%),17,6,17,6,6,5,0,8,9,1.20,0.51,0.69,1.20,1.41,517,397(81%),190,245,25(51%),7(37%),26,17,1,3,0,8(62%),16,0,11,0,49,32(48%),17(57%),9(64%)
NRG Stadium,"69,456",Argentina,Ecuador,1,1,0.87,8,2,2,1,465(86%),13,2,8,4,2,2,0,8,0,0.87,0.51,0.36,0.87,0.33,374,465(86%),164,146,24(52%),2(40%),19,14,2,2,0,15(68%),10,1,16,1,42,35(45%),7(44%),2(18%),1.73,9,2,3,3,114(59%),14,5,9,5,2,2,1,8,1,1.73,0.89,0.04,0.94,1.07,355,114(59%),196,93,21(43%),6(46%),20,22,1,2,0,12(60%),7,2,16,1,51,42(55%),9(56%),10(48%)
ATT Stadium,"51,080",Venezuela,Canada,1,1,0.86,15,3,0,0,465(86%),7,7,15,8,3,4,0,10,5,0.86,0.57,0.29,0.86,0.22,412,465(86%),164,142,30(42%),8(32%),30,22,3,1,0,21(68%),11,2,26,4,78,51(55%),27(57%),9(41%),1.65,16,7,4,4,114(59%),13,3,16,8,7,1,0,12,4,1.65,1.55,0.10,1.65,1.62,329,114(59%),126,121,18(32%),1(8%),24,23,0,2,0,22(71%),8,4,36,2,62,42(45%),20(43%),4(18%)
State Farm Stadium,"39,740",Colombia,Panama,5,0,2.25,7,5,4,0,413(85%),15,4,7,0,5,2,0,4,3,2.25,0.03,0.64,0.67,3.64,366,413(85%),191,111,26(46%),5(36%),19,18,2,1,0,12(50%),6,4,15,3,64,52(59%),12(63%),8(50%),0.52,14,3,1,1,269(81%),20,2,14,7,3,4,1,6,8,0.52,0.19,0.33,0.52,0.36,340,269(81%),150,126,24(45%),4(25%),12,11,0,3,0,9(50%),4,2,16,0,43,36(41%),7(37%),3(27%)
Allegiant Stadium,"50,770",Uruguay,Brazil,0,0,0.89,12,1,1,1,413(85%),26,6,12,7,1,4,0,6,6,0.89,0.62,0.27,0.89,0.05,251,413(85%),80,105,20(40%),3(23%),12,10,2,2,1,14(61%),10,4,19,3,57,45(47%),12(44%),8(50%),0.58,7,3,1,1,269(81%),15,2,7,0,3,4,0,1,6,0.58,0.39,0.19,0.58,0.30,386,269(81%),178,130,22(49%),1(14%),22,11,0,2,0,9(45%),9,4,16,1,65,50(53%),15(56%),9(45%)
MetLife Stadium,"80,102",Argentina,Canada,2,0,2.20,11,3,2,0,464(88%),5,2,11,6,3,2,0,7,4,2.20,2.19,0.02,2.20,1.41,478,464(88%),309,97,17(40%),2(67%),14,13,2,1,0,8(53%),6,2,12,2,39,34(52%),5(45%),5(33%),0.78,9,2,2,2,235(78%),15,2,9,5,2,2,0,5,4,0.78,0.58,0.20,0.78,0.82,458,235(78%),221,174,10(31%),0(0%),6,25,0,3,0,12(80%),12,1,6,1,38,32(48%),6(55%),12(57%)
Bank of America Stadium,"70,644",Uruguay,Colombia,0,1,0.76,11,2,0,0,464(88%),11,4,11,8,2,1,1,6,5,0.76,0.67,0.09,0.76,0.29,410,464(88%),157,186,30(59%),7(32%),19,30,4,3,1,16(55%),8,0,7,3,61,51(58%),10(40%),9(60%),1.18,11,4,4,4,235(78%),13,3,11,7,4,0,1,8,3,1.18,0.99,0.19,1.18,0.69,259,235(78%),86,102,19(34%),6(55%),22,18,2,3,1,9(43%),7,1,15,2,52,37(42%),15(60%),6(35%)
