team_name,country_code,confederation,fifa_rank,fifa_points,wins_last_10_matches,losses_last_10_matches,draws_last_10_matches,win_rate_last_year,goals_scored_avg,goals_conceded_avg,clean_sheets_last_10,shots_per_game,shots_on_target_ratio,avg_player_rating,star_players_count,market_value_million_eur,experience_avg_caps,coach_experience_years,recent_form_score,possession_avg,passing_accuracy,host_advantage,travel_distance_avg,climate_similarity_score,winner
Poland,POL,UEFA,22,1662.0,3,5,2,0.556,1.49,1.11,3,13.3,0.325,73.5,1,546.0,33,7,6.8,45.4,79.5,0,8.7,0.54,0
Morocco,MAR,CAF,35,1650.9,4,3,3,0.528,1.61,1.12,3,11.6,0.341,77.7,3,259.0,37,6,6.1,47.2,84.7,0,7.4,0.45,0
Ecuador,ECU,CONMEBOL,22,1650.3,4,3,3,0.566,1.61,1.34,3,13.7,0.383,78.7,3,532.0,38,7,6.0,51.3,76.6,0,6.4,0.63,0
Turkey,TUR,UEFA,48,1513.4,1,6,3,0.363,1.11,2.13,2,10.0,0.327,75.6,2,356.0,15,8,3.0,46.5,76.3,0,7.4,0.62,0
Iran,IRN,AFC,33,1414.6,3,7,0,0.361,1.11,1.7,0,10.3,0.293,73.4,0,346.0,26,5,3.4,45.8,76.1,0,12.6,0.58,1
Germany,DEU,UEFA,11,1727.6,8,3,0,0.703,1.59,1.16,4,13.0,0.412,80.4,3,644.0,50,9,6.4,53.7,85.4,0,6.2,0.63,1
Brazil,BRA,CONMEBOL,7,1969.1,8,0,2,0.792,1.91,0.74,4,19.5,0.464,83.6,4,975.0,63,20,8.9,67.4,93.2,0,7.5,0.61,1
Italy,ITA,UEFA,17,1813.1,8,1,1,0.593,1.64,1.04,5,14.1,0.437,79.7,3,631.0,52,9,6.0,58.8,82.2,0,5.4,0.46,1
Netherlands,NED,UEFA,17,1660.5,5,2,3,0.651,1.94,0.87,2,15.6,0.44,85.9,3,492.0,40,14,8.2,59.3,86.5,0,7.4,0.57,0
Germany,DEU,UEFA,17,1743.4,6,1,3,0.659,1.62,0.96,4,14.7,0.392,81.3,3,471.0,46,6,6.6,61.9,83.3,0,7.3,0.48,1
Algeria,ALG,CAF,50,1551.2,1,7,2,0.445,0.88,1.58,2,8.0,0.241,75.3,0,352.0,35,4,4.2,40.9,71.3,0,10.3,0.48,0
Ukraine,UKR,UEFA,29,1476.2,2,6,2,0.338,0.74,1.6,2,10.7,0.342,71.1,1,289.0,19,4,2.7,49.3,78.2,0,6.5,0.71,1
Italy,ITA,UEFA,9,1654.1,7,2,1,0.609,2.18,0.98,2,14.9,0.412,81.2,4,645.0,48,20,5.0,52.1,84.0,0,5.6,0.56,0
Sweden,SWE,UEFA,23,1712.5,6,5,0,0.587,1.61,0.99,3,12.2,0.326,78.3,3,296.0,43,7,6.3,50.1,84.9,0,5.2,0.66,0
Colombia,COL,CONMEBOL,16,1761.2,8,3,0,0.59,1.58,0.7,5,14.6,0.405,79.9,4,630.0,37,11,7.1,55.8,83.9,0,7.9,0.61,0
Paraguay,PAR,CONMEBOL,48,1552.1,2,7,1,0.355,0.76,2.03,0,10.9,0.332,76.7,0,220.0,25,5,5.0,41.0,71.5,0,5.3,0.73,0
USA,USA,CONCACAF,24,1529.3,6,2,2,0.463,1.48,1.11,1,10.4,0.412,75.8,1,498.0,26,10,6.7,52.0,75.7,1,1.8,0.74,0
Netherlands,NED,UEFA,17,1656.8,7,3,0,0.562,1.46,0.61,2,14.5,0.4,82.2,4,838.0,53,11,7.9,54.3,85.5,0,8.3,0.47,0
Portugal,POR,UEFA,12,1762.4,6,3,1,0.552,1.6,0.76,2,15.2,0.419,78.1,2,579.0,38,16,6.9,51.4,89.2,0,7.1,0.63,0
Senegal,SEN,CAF,20,1581.9,5,3,2,0.478,1.11,0.99,4,9.6,0.324,80.2,1,336.0,31,3,4.8,51.0,77.2,0,10.9,0.47,0
Netherlands,NED,UEFA,13,1818.7,5,1,4,0.568,1.95,0.66,3,13.1,0.416,84.9,2,615.0,39,17,7.7,57.3,81.5,0,5.4,0.62,1
Australia,AUS,AFC,27,1678.6,6,2,2,0.598,1.07,1.08,2,12.3,0.337,79.2,2,435.0,26,11,6.6,50.9,83.5,0,13.0,0.59,0
Peru,PER,CONMEBOL,33,1575.3,1,5,4,0.296,1.01,1.98,1,9.0,0.275,72.9,2,201.0,20,4,2.6,43.9,78.7,0,6.0,0.73,0
Colombia,COL,CONMEBOL,12,1758.6,6,2,2,0.652,1.42,0.79,4,12.4,0.358,81.3,3,843.0,55,19,8.0,56.2,81.2,0,6.9,0.61,0
Germany,DEU,UEFA,10,1765.7,5,2,3,0.57,1.73,1.1,4,15.7,0.474,80.4,2,842.0,37,17,9.7,57.0,87.0,0,8.7,0.68,1
Honduras,HON,CONCACAF,32,1496.2,1,5,4,0.321,0.61,1.28,2,10.5,0.347,75.5,1,210.0,28,9,4.6,46.6,70.7,0,0.6,0.77,0
Japan,JPN,AFC,33,1594.4,3,2,5,0.413,1.34,0.82,4,12.1,0.367,76.4,2,373.0,31,8,6.2,45.2,84.6,0,11.4,0.63,0
Argentina,ARG,CONMEBOL,2,1995.5,6,2,2,0.69,2.37,0.68,3,19.7,0.545,84.3,3,776.0,43,17,7.3,63.9,94.8,0,4.9,0.65,1
France,FRA,UEFA,2,1886.6,6,0,4,0.783,2.02,0.46,5,17.9,0.482,83.4,4,1103.0,49,10,7.2,65.2,87.6,0,5.7,0.55,1
Argentina,ARG,CONMEBOL,5,1925.1,9,1,0,0.839,2.36,0.85,3,14.2,0.41,86.2,3,895.0,42,13,8.1,60.9,85.9,0,5.8,0.6,1
Poland,POL,UEFA,19,1675.5,5,4,1,0.579,1.36,1.11,2,13.0,0.338,80.0,3,519.0,35,10,5.5,51.6,78.6,0,7.9,0.7,0
Saudi Arabia,KSA,AFC,46,1576.5,4,6,0,0.28,1.29,1.69,0,9.3,0.309,71.2,1,376.0,19,9,2.3,40.3,72.1,0,10.3,0.64,0
Mexico,MEX,CONCACAF,35,1608.7,5,5,0,0.505,1.17,0.88,2,9.5,0.329,72.5,0,472.0,42,12,5.8,49.8,82.4,1,2.5,0.91,1
France,FRA,UEFA,3,1931.0,9,2,0,0.683,2.46,1.0,5,18.2,0.477,85.1,5,734.0,64,21,9.3,66.7,93.1,0,5.2,0.72,1
Uruguay,URU,CONMEBOL,9,1748.4,7,3,0,0.686,1.78,0.61,5,15.7,0.469,81.0,2,567.0,53,7,7.8,59.7,89.6,0,6.9,0.63,0
Honduras,HON,CONCACAF,41,1443.7,1,4,5,0.224,0.69,1.21,0,10.1,0.23,71.6,1,334.0,18,4,5.1,48.8,73.4,0,3.0,0.86,0
South Korea,KOR,AFC,25,1688.3,5,2,3,0.45,1.15,1.14,1,9.5,0.409,78.7,1,269.0,25,10,5.6,49.7,79.3,0,12.6,0.51,0
New Zealand,NZL,OFC,46,1489.0,1,4,5,0.259,0.91,1.3,1,9.9,0.356,71.8,1,285.0,23,1,2.9,44.1,70.0,0,10.2,0.5,0
Wales,WAL,UEFA,30,1439.2,3,7,0,0.319,0.97,1.74,0,6.0,0.251,70.3,0,261.0,35,5,4.0,45.1,79.3,0,6.6,0.48,0
Brazil,BRA,CONMEBOL,7,1906.5,8,0,2,0.659,2.25,0.96,7,16.4,0.463,85.9,3,1057.0,51,23,7.9,64.3,92.2,0,7.5,0.55,0
Ghana,GHA,CAF,31,1473.8,3,6,1,0.337,1.22,1.6,2,7.8,0.352,74.7,0,316.0,33,10,3.8,41.4,71.5,0,7.7,0.44,0
Austria,AUT,UEFA,19,1680.4,3,3,4,0.459,1.34,1.2,2,13.6,0.397,75.5,1,469.0,30,14,5.2,54.4,75.8,0,7.2,0.71,0
South Korea,KOR,AFC,20,1594.8,6,4,0,0.402,1.26,0.82,4,12.4,0.345,75.2,1,444.0,29,10,6.3,55.4,80.2,0,10.3,0.3,0
Netherlands,NED,UEFA,5,1771.9,5,2,3,0.627,1.95,0.68,2,13.1,0.477,82.7,2,604.0,48,10,8.3,55.0,83.1,0,5.6,0.6,1
Poland,POL,UEFA,17,1632.6,6,2,2,0.418,1.42,0.91,1,10.9,0.341,77.8,1,393.0,37,4,4.5,47.7,78.6,0,8.3,0.66,0
Argentina,ARG,CONMEBOL,5,1992.6,8,2,0,0.766,1.94,0.67,4,16.9,0.46,90.0,4,1012.0,64,12,9.2,56.9,92.1,0,7.6,0.58,1
Mexico,MEX,CONCACAF,33,1673.9,6,2,2,0.536,1.33,0.82,2,9.7,0.356,80.9,2,427.0,28,8,5.6,51.2,81.1,1,2.8,0.79,0
USA,USA,CONCACAF,30,1632.5,5,5,0,0.591,1.14,0.88,4,9.0,0.377,76.1,3,344.0,27,13,6.3,55.7,82.3,1,2.4,0.93,0
Ivory Coast,CIV,CAF,36,1455.8,4,5,1,0.398,1.29,1.4,1,10.1,0.261,70.1,0,262.0,19,1,2.2,40.1,78.2,0,10.2,0.52,0
Ukraine,UKR,UEFA,29,1415.5,4,7,0,0.206,0.74,1.75,1,10.0,0.353,70.5,0,218.0,20,2,2.3,45.0,77.1,0,5.2,0.47,0
Netherlands,NED,UEFA,18,1677.4,7,3,0,0.605,1.78,0.74,2,13.1,0.354,80.5,4,709.0,51,11,7.0,55.4,86.2,0,5.3,0.65,0
Japan,JPN,AFC,35,1563.8,4,4,2,0.429,1.54,0.99,3,9.8,0.406,78.3,2,266.0,36,3,7.0,45.0,75.5,0,9.7,0.55,1
Spain,ESP,UEFA,1,1808.6,6,2,2,0.713,2.59,0.94,7,16.5,0.457,89.6,5,745.0,65,8,9.8,66.0,86.4,0,6.0,0.71,1
Paraguay,PAR,CONMEBOL,31,1540.5,2,4,4,0.319,1.01,2.2,0,7.8,0.354,73.5,0,286.0,30,2,4.2,47.7,78.6,0,4.7,0.69,0
Ukraine,UKR,UEFA,49,1443.1,1,6,3,0.209,0.82,2.13,1,9.7,0.356,70.0,0,236.0,18,5,3.0,43.7,71.1,0,7.1,0.53,0
Belgium,BEL,UEFA,10,1777.7,6,2,2,0.634,1.72,0.92,3,13.3,0.444,85.1,3,658.0,40,5,8.0,59.3,85.2,0,8.9,0.49,1
Poland,POL,UEFA,32,1575.2,5,3,2,0.47,1.26,0.8,3,12.3,0.366,80.2,3,257.0,35,10,6.3,53.6,79.0,0,6.2,0.47,0
Serbia,SRB,UEFA,26,1513.1,6,3,1,0.592,1.66,1.35,4,12.3,0.377,77.9,2,360.0,36,9,4.4,51.8,80.8,0,5.6,0.69,0
England,ENG,UEFA,4,1854.2,7,0,3,0.662,2.49,0.81,4,14.0,0.495,86.1,4,908.0,45,9,7.7,61.5,85.8,0,6.1,0.69,1
Tunisia,TUN,CAF,30,1433.1,1,7,2,0.424,1.04,1.34,2,10.0,0.34,71.7,1,220.0,18,3,3.7,44.1,75.2,0,7.9,0.39,0
South Korea,KOR,AFC,22,1614.7,4,3,3,0.479,1.6,1.34,4,10.2,0.377,76.1,2,538.0,42,8,6.6,51.6,82.8,0,10.3,0.49,1
Iran,IRN,AFC,50,1545.8,3,5,2,0.261,0.82,2.09,0,6.6,0.26,72.8,2,372.0,15,9,4.7,43.7,77.5,0,13.5,0.63,0
South Korea,KOR,AFC,29,1644.5,4,2,4,0.575,1.68,0.82,3,10.1,0.305,74.3,1,294.0,37,11,6.9,51.4,80.8,0,11.1,0.57,0
Brazil,BRA,CONMEBOL,7,1966.1,6,0,4,0.806,2.28,0.7,6,15.2,0.438,85.1,5,716.0,53,11,7.9,66.4,86.0,0,7.3,0.56,1
Italy,ITA,UEFA,5,1747.0,8,3,0,0.556,1.5,1.06,2,15.0,0.358,81.5,2,839.0,41,11,6.4,53.6,80.0,0,7.9,0.74,0
Brazil,BRA,CONMEBOL,5,1947.0,7,1,2,0.715,2.51,0.89,3,16.2,0.535,88.6,5,810.0,61,15,9.0,56.0,92.1,0,4.7,0.75,0
Egypt,EGY,CAF,48,1512.0,1,4,5,0.327,0.8,2.13,1,9.5,0.32,73.2,0,222.0,21,9,3.0,48.1,73.5,0,8.3,0.54,0
Chile,CHI,CONMEBOL,42,1487.1,4,4,2,0.295,0.63,1.99,1,6.1,0.33,70.9,1,327.0,28,2,3.5,42.3,78.2,0,6.2,0.79,0
Jamaica,JAM,CONCACAF,30,1590.5,4,6,0,0.416,0.63,1.51,2,7.6,0.334,73.5,2,256.0,17,2,4.9,49.1,76.7,0,0.6,0.84,0
Belgium,BEL,UEFA,5,1818.3,5,1,4,0.653,1.6,0.81,3,14.2,0.439,81.3,3,532.0,41,8,8.4,59.4,81.2,0,8.1,0.69,0
France,FRA,UEFA,8,1794.9,6,1,3,0.671,2.35,0.99,3,18.4,0.506,86.0,5,960.0,46,10,7.6,61.3,87.9,0,7.6,0.74,1
Ukraine,UKR,UEFA,33,1413.7,1,5,4,0.35,1.0,1.85,1,9.2,0.319,72.6,2,322.0,15,6,3.1,42.7,78.7,0,8.8,0.48,1
Ivory Coast,CIV,CAF,49,1525.0,2,4,4,0.302,0.51,1.78,0,8.7,0.352,71.5,0,351.0,24,6,5.4,41.0,74.3,0,7.4,0.47,0
Argentina,ARG,CONMEBOL,5,1892.8,8,1,1,0.768,2.41,0.78,4,18.2,0.431,87.6,3,1139.0,59,22,7.1,59.6,85.8,0,7.6,0.64,1
Denmark,DEN,UEFA,34,1684.5,4,4,2,0.499,1.2,1.35,3,12.1,0.389,76.6,1,337.0,38,12,5.3,47.3,78.3,0,8.5,0.72,0
France,FRA,UEFA,2,1834.6,9,1,0,0.75,2.34,0.49,6,16.5,0.475,88.5,4,711.0,43,14,7.2,61.4,86.1,0,8.1,0.57,1
Tunisia,TUN,CAF,37,1588.5,2,6,2,0.404,1.05,1.31,0,6.0,0.349,73.1,1,296.0,35,10,4.9,47.9,79.1,0,10.8,0.35,0
Tunisia,TUN,CAF,28,1463.7,1,4,5,0.338,0.9,1.39,1,10.0,0.344,72.4,2,275.0,23,5,3.4,47.2,74.9,0,8.7,0.47,0
England,ENG,UEFA,6,1784.2,8,1,1,0.698,2.15,0.46,6,14.7,0.432,85.2,5,729.0,61,22,9.2,62.4,89.1,0,8.0,0.71,1
Switzerland,SUI,UEFA,29,1572.1,3,3,4,0.526,1.37,0.88,1,11.5,0.412,77.1,2,404.0,37,7,6.3,52.5,84.5,0,8.1,0.63,1
Morocco,MAR,CAF,27,1502.2,6,2,2,0.551,1.33,1.41,1,11.4,0.34,79.5,2,403.0,43,4,5.2,50.3,79.1,0,9.6,0.25,1
Netherlands,NED,UEFA,10,1720.1,5,3,2,0.717,1.76,0.91,3,14.2,0.48,82.9,2,629.0,37,10,7.7,57.3,83.7,0,6.5,0.46,0
Ukraine,UKR,UEFA,36,1401.1,4,5,1,0.226,0.54,1.78,0,8.9,0.329,75.3,2,322.0,34,1,2.1,42.1,73.9,0,7.6,0.55,0
Mexico,MEX,CONCACAF,14,1595.3,4,5,1,0.516,1.44,0.91,2,11.1,0.386,76.7,3,306.0,37,13,6.6,54.6,82.5,1,1.9,0.85,1
Germany,DEU,UEFA,18,1774.6,7,3,0,0.677,1.58,0.92,5,13.0,0.44,80.5,4,556.0,41,9,7.9,59.3,81.9,0,5.4,0.66,1
South Korea,KOR,AFC,33,1507.4,3,5,2,0.565,1.44,1.4,4,10.6,0.408,80.2,3,520.0,32,15,6.5,54.3,80.8,0,8.4,0.33,0
Nigeria,NGA,CAF,40,1493.2,3,6,1,0.303,0.6,1.22,2,10.2,0.277,70.1,0,242.0,20,8,4.2,47.6,78.4,0,9.5,0.42,0
Spain,ESP,UEFA,1,1795.3,6,2,2,0.738,2.51,0.63,6,17.4,0.53,85.7,4,871.0,44,12,9.7,67.8,93.0,0,7.9,0.63,0
Italy,ITA,UEFA,9,1763.7,7,1,2,0.669,1.92,0.77,4,15.7,0.455,81.9,3,632.0,49,5,8.0,52.0,87.8,0,7.4,0.66,0
Honduras,HON,CONCACAF,30,1527.8,2,5,3,0.238,0.96,1.48,1,8.9,0.303,72.5,1,326.0,22,10,2.3,46.1,78.8,0,2.1,0.75,0
Sweden,SWE,UEFA,20,1719.4,6,2,2,0.538,1.42,1.23,3,13.2,0.307,76.3,3,381.0,36,3,6.0,54.8,80.5,0,8.2,0.57,1
Mexico,MEX,CONCACAF,35,1522.2,6,4,0,0.506,1.69,0.92,4,11.2,0.333,79.6,2,439.0,34,9,5.1,48.9,84.8,1,0.9,0.92,1
Japan,JPN,AFC,17,1671.7,6,3,1,0.525,1.19,1.14,1,11.2,0.418,76.8,3,267.0,26,11,2.4,48.8,84.9,0,12.0,0.37,0
Argentina,ARG,CONMEBOL,8,1861.7,8,0,2,0.744,2.46,0.74,5,17.9,0.418,88.6,5,1049.0,64,15,7.6,67.4,90.7,0,6.3,0.67,0
